失蹤人口統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,單位：人
,總   計,,男,,女,,幼童,,,,"兒童
(含幼童)",,,,少年,,,,青年,,,,"成年
(含老人)",,,,老人,,,
,,,,,,,男,,女,,男,,女,,男,,女,,男,,女,,男,,女,,男,,女,
,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數
 嘉義市, 215, 217, 95, 90, 120, 127, 1, 1, -, -, 1, 1, 2, 2, 11, 11, 42, 44, 10, 9, 16, 19, 73, 69, 60, 62, 15, 15, 9, 8
 福建省, 70, 72, 35, 38, 35, 34, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 5, 5, 2, 3, 7, 7, 30, 32, 22, 21, 5, 4, 6, 6
 金門縣, 62, 63, 31, 33, 31, 30, 2, 2, 1, 1, 2, 2, 1, 1, -, -, 4, 4, 2, 3, 7, 7, 27, 28, 19, 18, 3, 2, 3, 3
 連江縣, 8, 9, 4, 5, 4, 4, -, -, -, -, -, -, -, -, 1, 1, 1, 1, -, -, -, -, 3, 4, 3, 3, 2, 2, 3, 3
105年," 25,278 "," 25,249 "," 12,818 "," 12,808 "," 12,460 "," 12,441 ", 221 , 192 , 150 , 128 , 478 , 439 , 311 , 276 ," 2,374 "," 2,354 "," 3,710 "," 3,657 "," 1,329 "," 1,330 "," 1,596 "," 1,658 "," 8,637 "," 8,685 "," 6,843 "," 6,850 "," 2,373 "," 2,434 "," 1,330 "," 1,318 "
 新北市," 4,951"," 4,846"," 2,514"," 2,496"," 2,437"," 2,350", 37, 30, 34, 32, 100, 91, 75, 65, 502, 504, 691, 678, 256, 264, 321, 325," 1,656"," 1,637"," 1,350"," 1,282", 495, 526, 285, 285
 臺北市," 2,213"," 2,200"," 1,156"," 1,153"," 1,057"," 1,047", 28, 23, 10, 10, 47, 43, 25, 25, 155, 151, 229, 219, 92, 93, 114, 117, 862, 866, 689, 686, 342, 351, 247, 244
 桃園市," 2,996"," 2,909"," 1,516"," 1,452"," 1,480"," 1,457", 29, 19, 20, 15, 63, 52, 37, 31, 401, 389, 590, 584, 163, 161, 174, 177, 889, 850, 679, 665, 211, 198, 100, 97
 臺中市," 3,178"," 3,194"," 1,630"," 1,648"," 1,548"," 1,546", 44, 38, 18, 16, 81, 73, 46, 44, 323, 330, 470, 465, 206, 210, 193, 193," 1,020"," 1,035", 839, 844, 262, 264, 143, 142
 臺南市," 1,586"," 1,637", 849, 875, 737, 762, 18, 14, 9, 10, 30, 25, 16, 16, 111, 108, 173, 177, 68, 67, 88, 91, 640, 675, 460, 478, 156, 159, 92, 93
 高雄市," 2,417"," 2,596"," 1,257"," 1,361"," 1,160"," 1,235", 12, 14, 13, 7, 29, 28, 21, 14, 221, 233, 340, 342, 152, 151, 165, 181, 855, 949, 634, 698, 233, 256, 112, 114
 臺灣省," 7,856"," 7,797"," 3,853"," 3,785"," 4,003"," 4,012", 49, 51, 46, 38, 123, 123, 91, 81, 652, 630," 1,212"," 1,188", 388, 380, 534, 568," 2,690"," 2,652"," 2,166"," 2,175", 671, 678, 348, 341
 宜蘭縣, 509, 506, 252, 246, 257, 260, 2, 5, 2, 3, 6, 9, 4, 5, 35, 36, 74, 76, 29, 29, 30, 34, 182, 172, 149, 145, 43, 39, 21, 20
 新竹縣, 607, 621, 266, 281, 341, 340, 2, 3, 5, 2, 6, 8, 7, 4, 55, 52, 137, 133, 38, 40, 46, 48, 167, 181, 151, 155, 41, 42, 18, 16
 苗栗縣, 726, 726, 378, 377, 348, 349, 4, 4, 3, 3, 12, 11, 8, 8, 66, 66, 110, 112, 35, 36, 44, 43, 265, 264, 186, 186, 55, 59, 27, 25
 彰化縣," 1,226"," 1,220", 624, 602, 602, 618, 7, 5, 7, 7, 16, 14, 14, 13, 72, 73, 124, 125, 81, 70, 72, 78, 455, 445, 392, 402, 114, 115, 63, 66
 南投縣, 593, 587, 283, 274, 310, 313, 5, 5, 2, 1, 8, 8, 3, 2, 48, 49, 96, 91, 29, 28, 54, 56, 198, 189, 157, 164, 44, 43, 28, 27
 雲林縣, 697, 694, 346, 329, 351, 365, 4, 4, 8, 5, 13, 12, 13, 11, 46, 42, 82, 86, 32, 31, 50, 55, 255, 244, 206, 213, 72, 67, 36, 37
 嘉義縣, 569, 548, 309, 293, 260, 255, 2, -, 5, 5, 10, 7, 10, 9, 47, 40, 42, 46, 24, 26, 38, 40, 228, 220, 170, 160, 67, 59, 33, 32
 屏東縣, 773, 751, 360, 336, 413, 415, 4, 4, 3, 4, 10, 9, 5, 6, 52, 49, 120, 113, 35, 35, 52, 56, 263, 243, 236, 240, 66, 62, 27, 26
 臺東縣, 336, 349, 151, 158, 185, 191, 4, 5, 4, 6, 10, 11, 7, 10, 32, 30, 68, 61, 8, 10, 34, 42, 101, 107, 76, 78, 33, 31, 14, 13
 花蓮縣, 527, 538, 235, 247, 292, 291, 8, 8, 4, 1, 11, 11, 6, 2, 43, 42, 113, 109, 25, 24, 46, 48, 156, 170, 127, 132, 33, 42, 22, 21
 澎湖縣, 63, 63, 35, 36, 28, 27, -, -, -, -, -, -, -, -, 5, 5, 3, 1, 4, 4, 6, 5, 26, 27, 19, 21, 6, 6, 2, 2
 基隆市, 526, 507, 254, 247, 272, 260, 4, 4, -, -, 12, 13, 4, 3, 71, 68, 117, 112, 20, 21, 30, 31, 151, 145, 121, 114, 36, 34, 24, 23
 新竹市, 461, 460, 233, 237, 228, 223, 2, 3, 1, 1, 5, 6, 4, 4, 58, 59, 101, 97, 17, 16, 20, 21, 153, 156, 103, 101, 38, 58, 16, 17
 嘉義市, 243, 227, 127, 122, 116, 105, 1, 1, 2, -, 4, 4, 6, 4, 22, 19, 25, 26, 11, 10, 12, 11, 90, 89, 73, 64, 23, 21, 17, 16
 福建省, 81, 70, 43, 38, 38, 32, 4, 3, -, -, 5, 4, -, -, 9, 9, 5, 4, 4, 4, 7, 6, 25, 21, 26, 22, 3, 2, 3, 2
 金門縣, 70, 63, 38, 34, 32, 29, 4, 3, -, -, 5, 4, -, -, 8, 8, 4, 4, 3, 3, 6, 5, 22, 19, 22, 20, 2, 2, 2, 1
 連江縣, 11, 7, 5, 4, 6, 3, -, -, -, -, -, -, -, -, 1, 1, 1, -, 1, 1, 1, 1, 3, 2, 4, 2, 1, -, 1, 1
105年1月," 1,897 "," 1,810 ", 966 , 936 , 931 , 874 , 10 , 5 , 10 , 5 , 26 , 20 , 20 , 15 , 162 , 160 , 287 , 273 , 102 , 105 , 129 , 121 , 676 , 651 , 495 , 465 , 202 , 192 , 104 , 98 
105年2月," 1,929 "," 2,383 ", 975 ," 1,269 ", 954 ," 1,114 ", 18 , 18 , 5 , 6 , 27 , 29 , 16 , 16 , 179 , 201 , 276 , 290 , 92 , 110 , 113 , 152 , 677 , 929 , 549 , 656 , 201 , 304 , 122 , 134 
105年3月," 2,256 "," 2,243 "," 1,115 "," 1,130 "," 1,141 "," 1,113 ", 15 , 17 , 7 , 9 , 34 , 31 , 22 , 22 , 242 , 225 , 349 , 339 , 111 , 110 , 125 , 142 , 728 , 764 , 645 , 610 , 195 , 205 , 119 , 107 
105年4月," 2,143 "," 2,092 "," 1,089 "," 1,051 "," 1,054 "," 1,041 ", 14 , 12 , 12 , 9 , 40 , 34 , 27 , 23 , 210 , 207 , 313 , 326 , 124 , 128 , 136 , 114 , 715 , 682 , 578 , 578 , 220 , 197 , 111 , 121 
105年5月," 2,210 "," 2,253 "," 1,105 "," 1,144 "," 1,105 "," 1,109 ", 15 , 13 , 15 , 11 , 39 , 42 , 29 , 26 , 229 , 228 , 357 , 334 , 108 , 122 , 147 , 163 , 729 , 752 , 572 , 586 , 212 , 221 , 98 , 97 
105年6月," 2,286 "," 2,187 "," 1,182 "," 1,101 "," 1,104 "," 1,086 ", 19 , 11 , 12 , 9 , 42 , 32 , 20 , 16 , 258 , 236 , 381 , 365 , 115 , 111 , 162 , 156 , 767 , 722 , 541 , 549 , 218 , 202 , 97 , 99 
105年7月," 2,115 "," 2,177 "," 1,056 "," 1,080 "," 1,059 "," 1,097 ", 22 , 21 , 18 , 17 , 46 , 45 , 33 , 26 , 166 , 208 , 271 , 334 , 113 , 113 , 155 , 168 , 731 , 714 , 600 , 569 , 188 , 198 , 122 , 115 
105年8月," 2,101 "," 2,108 "," 1,062 "," 1,039 "," 1,039 "," 1,069 ", 12 , 19 , 17 , 20 , 36 , 41 , 34 , 36 , 171 , 171 , 279 , 284 , 115 , 123 , 144 , 149 , 740 , 704 , 582 , 600 , 166 , 167 , 107 , 108 
105年9月," 2,055 "," 1,900 "," 1,058 ", 964 , 997 , 936 , 29 , 20 , 13 , 14 , 55 , 44 , 28 , 26 , 181 , 148 , 293 , 263 , 109 , 91 , 100 , 105 , 713 , 681 , 576 , 542 , 194 , 166 , 102 , 101 
105年10月," 2,189 "," 2,016 "," 1,124 "," 1,008 "," 1,065 "," 1,008 ", 32 , 20 , 15 , 10 , 57 , 44 , 33 , 30 , 184 , 176 , 303 , 290 , 123 , 118 , 151 , 136 , 760 , 670 , 578 , 552 , 188 , 185 , 125 , 124 
105年11月," 2,012 "," 1,981 "," 1,010 ", 988 ," 1,002 ", 993 , 15 , 18 , 13 , 7 , 35 , 42 , 18 , 13 , 198 , 182 , 297 , 293 , 113 , 98 , 112 , 127 , 664 , 666 , 575 , 560 , 167 , 164 , 103 , 102 
105年12月," 2,085 "," 2,099 "," 1,076 "," 1,098 "," 1,009 "," 1,001 ", 20 , 18 , 13 , 11 , 41 , 35 , 31 , 27 , 194 , 212 , 304 , 266 , 104 , 101 , 122 , 125 , 737 , 750 , 552 , 583 , 222 , 233 , 120 , 112 
, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
106年," 25,792"," 25,927"," 13,251"," 13,307"," 12,541"," 12,620", 211, 198, 176, 164, 453, 446, 320, 296," 2,377"," 2,372"," 3,421"," 3,464"," 1,230"," 1,235"," 1,612"," 1,598"," 9,191"," 9,254"," 7,188"," 7,262"," 2,539"," 2,649"," 1,464"," 1,500"
 新北市," 5,061"," 5,033"," 2,590"," 2,567"," 2,471"," 2,466", 36, 42, 31, 25, 94, 100, 60, 52, 536, 524, 760, 762, 244, 244, 315, 305," 1,716"," 1,699"," 1,336"," 1,347", 528, 513, 290, 296
 臺北市," 2,352"," 2,306"," 1,242"," 1,189"," 1,110"," 1,117", 14, 16, 18, 17, 42, 44, 30, 27, 164, 167, 237, 241, 96, 100, 111, 113, 940, 878, 732, 736, 361, 337, 263, 267
 桃園市," 3,017"," 2,930"," 1,544"," 1,482"," 1,473"," 1,448", 24, 19, 21, 21, 68, 64, 43, 40, 370, 359, 462, 466, 145, 144, 164, 172, 961, 915, 804, 770, 212, 204, 121, 123
 臺中市," 3,178"," 3,261"," 1,659"," 1,738"," 1,519"," 1,523", 39, 35, 34, 28, 69, 66, 50, 42, 342, 340, 417, 418, 182, 187, 205, 194," 1,066"," 1,145", 847, 869, 278, 340, 159, 168
 臺南市," 1,672"," 1,697", 874, 882, 798, 815, 14, 15, 13, 14, 23, 25, 25, 26, 98, 102, 140, 148, 67, 72, 102, 107, 686, 683, 531, 534, 196, 202, 106, 104
 高雄市," 2,536"," 2,710"," 1,324"," 1,437"," 1,212"," 1,273", 17, 14, 16, 16, 35, 31, 28, 29, 189, 195, 303, 311, 140, 142, 165, 162, 960," 1,069", 716, 771, 268, 314, 156, 169
 臺灣省," 7,870"," 7,894"," 3,958"," 3,961"," 3,912"," 3,933", 67, 57, 43, 43, 120, 114, 84, 80, 671, 678," 1,092"," 1,108", 354, 345, 542, 539," 2,813"," 2,824"," 2,194"," 2,206", 689, 732, 362, 365
 宜蘭縣, 569, 568, 310, 316, 259, 252, 8, 8, 2, 2, 10, 11, 4, 3, 67, 66, 76, 75, 12, 15, 18, 17, 221, 224, 161, 157, 44, 42, 26, 25
 新竹縣, 586, 584, 318, 294, 268, 290, 5, 3, 2, 5, 10, 7, 3, 6, 69, 68, 92, 101, 34, 28, 39, 43, 205, 191, 134, 140, 45, 46, 21, 23
 苗栗縣, 651, 655, 324, 317, 327, 338, 5, 4, 2, 1, 9, 9, 5, 4, 55, 56, 115, 119, 31, 29, 48, 48, 229, 223, 159, 167, 45, 49, 26, 26
 彰化縣," 1,269"," 1,264", 660, 675, 609, 589, 5, 5, 5, 6, 11, 11, 11, 12, 83, 85, 147, 140, 58, 62, 86, 80, 508, 517, 365, 357, 138, 146, 46, 46
 南投縣, 509, 495, 242, 227, 267, 268, 6, 6, 3, 3, 10, 10, 5, 4, 46, 36, 71, 73, 26, 25, 45, 44, 160, 156, 146, 147, 30, 29, 29, 30
 雲林縣, 671, 667, 351, 345, 320, 322, 9, 9, 4, 5, 12, 13, 9, 9, 41, 44, 67, 68, 32, 25, 46, 49, 266, 263, 198, 196, 81, 79, 34, 34
 嘉義縣, 520, 543, 258, 272, 262, 271, 6, 4, 3, 3, 9, 7, 6, 6, 28, 33, 53, 51, 30, 31, 29, 35, 191, 201, 174, 179, 52, 54, 27, 27
 屏東縣, 836, 848, 424, 427, 412, 421, 6, 4, 7, 5, 8, 7, 13, 11, 52, 52, 84, 89, 41, 43, 58, 53, 323, 325, 257, 268, 74, 76, 38, 40
 臺東縣, 311, 326, 146, 163, 165, 163, 1, 2, 2, 2, 2, 3, 2, 2, 24, 24, 44, 48, 12, 10, 25, 24, 108, 126, 94, 89, 26, 50, 19, 19
 花蓮縣, 511, 505, 224, 224, 287, 281, 8, 7, 7, 5, 11, 11, 11, 9, 43, 43, 108, 102, 14, 16, 50, 48, 156, 154, 118, 122, 35, 36, 11, 10
 澎湖縣, 60, 56, 28, 24, 32, 32, -, -, -, -, -, -, -, -, 6, 6, 7, 8, 1, -, 2, 4, 21, 18, 23, 20, 4, 4, 5, 5
 基隆市, 595, 591, 291, 292, 304, 299, 2, 1, 2, -, 10, 9, 4, 2, 89, 94, 117, 120, 24, 21, 40, 39, 168, 168, 143, 138, 40, 42, 31, 29
 新竹市, 532, 529, 252, 252, 280, 277, 5, 3, 3, 3, 15, 13, 7, 7, 53, 53, 87, 90, 28, 26, 39, 35, 156, 160, 147, 145, 40, 48, 32, 34
 嘉義市, 250, 263, 130, 133, 120, 130, 1, 1, 1, 3, 3, 3, 4, 5, 15, 18, 24, 24, 11, 14, 17, 20, 101, 98, 75, 81, 35, 31, 17, 17
