失蹤人口統計,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,單位：人
,總   計,,男,,女,,幼童,,,,"兒童
(含幼童)",,,,少年,,,,青年,,,,"成年
(含老人)",,,,老人,,,
,,,,,,,男,,女,,男,,女,,男,,女,,男,,女,,男,,女,,男,,女,
,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數,發生數,查獲數
109年5月," 2,120 "," 2,159 "," 1,073 "," 1,086 "," 1,047 "," 1,073 ", 18 , 15 , 10 , 7 , 43 , 39 , 18 , 14 , 194 , 182 , 298 , 286 , 128 , 118 , 134 , 137 , 708 , 747 , 597 , 636 , 198 , 231 , 164 , 166 
109年6月," 2,091 "," 2,105 "," 1,076 "," 1,108 "," 1,015 ", 997 , 7 , 7 , 11 , 9 , 22 , 23 , 18 , 18 , 191 , 199 , 271 , 263 , 115 , 116 , 154 , 144 , 748 , 770 , 572 , 572 , 249 , 271 , 155 , 155 
109年7月," 2,159 "," 2,244 "," 1,112 "," 1,142 "," 1,047 "," 1,102 ", 9 , 9 , 11 , 9 , 30 , 31 , 20 , 14 , 184 , 187 , 280 , 296 , 108 , 101 , 125 , 148 , 790 , 823 , 622 , 644 , 233 , 248 , 155 , 149 
109年8月," 2,116 "," 2,105 "," 1,113 "," 1,096 "," 1,003 "," 1,009 ", 21 , 19 , 13 , 10 , 32 , 33 , 25 , 22 , 158 , 175 , 220 , 249 , 113 , 126 , 125 , 116 , 810 , 762 , 633 , 622 , 231 , 217 , 163 , 157 
109年9月," 2,192 "," 2,430 "," 1,130 "," 1,220 "," 1,062 "," 1,210 ", 17 , 38 , 13 , 28 , 36 , 57 , 33 , 53 , 228 , 261 , 304 , 370 , 136 , 140 , 125 , 163 , 730 , 762 , 600 , 624 , 232 , 228 , 159 , 153 
109年10月," 2,062 "," 2,248 "," 1,105 "," 1,230 ", 957 ," 1,018 ", 9 , 16 , 10 , 13 , 31 , 39 , 22 , 33 , 215 , 208 , 281 , 278 , 107 , 112 , 108 , 106 , 752 , 871 , 546 , 601 , 244 , 326 , 160 , 178 
109年11月," 2,251 "," 2,316 "," 1,181 "," 1,214 "," 1,070 "," 1,102 ", 19 , 17 , 19 , 20 , 39 , 40 , 30 , 32 , 227 , 224 , 318 , 321 , 131 , 138 , 124 , 118 , 784 , 812 , 598 , 631 , 237 , 231 , 153 , 156 
109年12月," 2,048 "," 2,156 "," 1,081 "," 1,153 ", 967 ," 1,003 ", 15 , 25 , 20 , 26 , 30 , 41 , 33 , 43 , 205 , 212 , 293 , 279 , 113 , 116 , 113 , 128 , 733 , 784 , 528 , 553 , 230 , 245 , 131 , 141 
110年," 23,598"," 25,460"," 12,580"," 13,794"," 11,018"," 11,666", 139, 167, 138, 157, 343, 372, 259, 284," 2,036"," 2,090"," 2,712"," 2,775"," 1,227"," 1,298"," 1,316"," 1,359"," 8,974"," 10,034"," 6,731"," 7,248"," 2,841"," 3,331"," 1,941"," 2,002"
 新北市," 4,448"," 4,707"," 2,438"," 2,597"," 2,010"," 2,110", 23, 29, 22, 25, 66, 64, 46, 52, 459, 467, 530, 544, 232, 250, 226, 230," 1,681"," 1,816"," 1,208"," 1,284", 573, 639, 402, 412
 臺北市," 1,974"," 2,180"," 1,086"," 1,236", 888, 944, 10, 10, 14, 14, 29, 31, 16, 18, 156, 154, 166, 172, 79, 82, 66, 79, 822, 969, 640, 675, 333, 449, 256, 268
 桃園市," 2,885"," 3,279"," 1,536"," 1,808"," 1,349"," 1,471", 16, 27, 22, 22, 43, 53, 37, 38, 370, 382, 382, 405, 179, 193, 186, 182, 944," 1,180", 744, 846, 261, 355, 175, 192
 臺中市," 2,779"," 2,911"," 1,439"," 1,518"," 1,340"," 1,393", 22, 25, 18, 23, 56, 60, 37, 42, 235, 244, 339, 342, 152, 161, 174, 177, 996," 1,053", 790, 832, 308, 324, 210, 213
 臺南市," 1,730"," 1,803", 949," 1,005", 781, 798, 7, 7, 8, 7, 25, 26, 13, 12, 127, 129, 160, 156, 81, 81, 76, 80, 716, 769, 532, 550, 245, 260, 157, 162
 高雄市," 2,635"," 2,657"," 1,421"," 1,419"," 1,214"," 1,238", 21, 21, 12, 14, 43, 42, 21, 23, 185, 189, 259, 269, 145, 132, 141, 144," 1,048"," 1,056", 793, 802, 362, 362, 251, 245
 臺灣省," 7,061"," 7,840"," 3,670"," 4,171"," 3,391"," 3,669", 40, 48, 42, 52, 80, 95, 87, 97, 500, 521, 871, 882, 358, 398, 443, 463," 2,732"," 3,157"," 1,990"," 2,227", 752, 935, 482, 501
 宜蘭縣, 543, 585, 289, 317, 254, 268, 3, 4, 3, 3, 6, 9, 7, 7, 42, 43, 70, 69, 24, 26, 21, 24, 217, 239, 156, 168, 62, 77, 37, 36
 新竹縣, 577, 578, 311, 300, 266, 278, 7, 8, 6, 10, 10, 10, 9, 13, 62, 63, 95, 96, 40, 35, 31, 28, 199, 192, 131, 141, 39, 37, 25, 30
 苗栗縣, 551, 579, 290, 298, 261, 281, 1, 1, 4, 4, 2, 2, 6, 6, 48, 50, 60, 60, 27, 30, 38, 45, 213, 216, 157, 170, 51, 55, 31, 31
 彰化縣," 1,081"," 1,178", 570, 628, 511, 550, 2, 2, 7, 6, 8, 8, 18, 17, 58, 64, 100, 98, 47, 54, 72, 71, 457, 502, 321, 364, 123, 134, 77, 85
 南投縣, 482, 613, 257, 347, 225, 266, 4, 5, 6, 8, 5, 9, 7, 9, 33, 34, 43, 48, 25, 31, 22, 22, 194, 273, 153, 187, 50, 89, 30, 33
 雲林縣, 494, 576, 263, 305, 231, 271, 2, 4, 1, 2, 3, 5, 3, 4, 22, 24, 29, 30, 14, 20, 39, 43, 224, 256, 160, 194, 72, 81, 50, 50
 嘉義縣, 432, 503, 246, 294, 186, 209, 4, 6, -, -, 5, 8, 3, 3, 24, 26, 35, 34, 25, 25, 25, 31, 192, 235, 123, 141, 52, 63, 28, 27
 屏東縣, 887," 1,018", 453, 558, 434, 460, 5, 7, 5, 7, 12, 14, 11, 13, 49, 50, 113, 112, 52, 61, 61, 62, 340, 433, 249, 273, 111, 145, 63, 66
 臺東縣, 320, 346, 163, 179, 157, 167, 3, 2, 3, 3, 5, 4, 4, 4, 26, 25, 44, 46, 17, 20, 19, 18, 115, 130, 90, 99, 29, 36, 32, 31
 花蓮縣, 529, 549, 240, 255, 289, 294, -, -, 2, 3, 5, 6, 8, 9, 45, 47, 96, 100, 19, 21, 55, 52, 171, 181, 130, 133, 52, 48, 31, 30
 澎湖縣, 64, 72, 32, 36, 32, 36, 2, 2, -, -, 4, 4, 1, 1, -, -, 3, 2, 8, 8, 1, -, 20, 24, 27, 33, 3, 2, 13, 13
 基隆市, 474, 497, 245, 256, 229, 241, 2, 1, -, -, 7, 7, 3, 3, 54, 53, 95, 98, 29, 31, 23, 25, 155, 165, 108, 115, 48, 49, 24, 22
 新竹市, 388, 452, 205, 252, 183, 200, 3, 4, 1, 2, 3, 4, 1, 2, 30, 33, 51, 52, 25, 27, 17, 20, 147, 188, 114, 126, 30, 60, 26, 30
 嘉義市, 239, 294, 106, 146, 133, 148, 2, 2, 4, 4, 5, 5, 6, 6, 7, 9, 37, 37, 6, 9, 19, 22, 88, 123, 71, 83, 30, 59, 15, 17
 福建省, 86, 83, 41, 40, 45, 43, -, -, -, -, 1, 1, 2, 2, 4, 4, 5, 5, 1, 1, 4, 4, 35, 34, 34, 32, 7, 7, 8, 9
 金門縣, 78, 77, 38, 38, 40, 39, -, -, -, -, -, -, 2, 2, 4, 4, 5, 5, 1, 1, 4, 4, 33, 33, 29, 28, 7, 7, 8, 9
 連江縣, 8, 6, 3, 2, 5, 4, -, -, -, -, 1, 1, -, -, -, -, -, -, -, -, -, -, 2, 1, 5, 4, -, -, -, -
110年1月," 2,066 "," 2,703 "," 1,123 "," 1,530 ", 943 ," 1,173 ", 12 , 20 , 9 , 26 , 28 , 40 , 15 , 34 , 217 , 247 , 257 , 297 , 104 , 133 , 118 , 138 , 774 ," 1,110 ", 553 , 704 , 266 , 383 , 176 , 168 
110年2月," 2,000 "," 2,553 "," 1,057 "," 1,432 ", 943 ," 1,121 ", 8 , 18 , 13 , 12 , 22 , 35 , 20 , 17 , 169 , 165 , 212 , 228 , 102 , 142 , 123 , 141 , 764 ," 1,090 ", 588 , 735 , 251 , 379 , 184 , 213 
110年3月," 2,256 "," 2,739 "," 1,185 "," 1,533 "," 1,071 "," 1,206 ", 10 , 17 , 6 , 13 , 27 , 36 , 21 , 32 , 214 , 240 , 295 , 287 , 141 , 166 , 128 , 140 , 803 ," 1,091 ", 627 , 747 , 243 , 388 , 162 , 180 
110年4月," 2,208 "," 2,515 "," 1,135 "," 1,333 "," 1,073 "," 1,182 ", 17 , 19 , 17 , 13 , 34 , 36 , 31 , 27 , 215 , 215 , 316 , 316 , 126 , 126 , 127 , 151 , 760 , 956 , 599 , 688 , 228 , 359 , 166 , 196 
110年5月," 2,085 "," 2,064 "," 1,099 "," 1,113 ", 986 , 951 , 10 , 14 , 10 , 13 , 30 , 27 , 15 , 19 , 209 , 197 , 285 , 257 , 111 , 87 , 116 , 102 , 749 , 802 , 570 , 573 , 225 , 271 , 166 , 165 
110年6月," 1,494 "," 1,425 ", 774 , 741 , 720 , 684 , 9 , 8 , 7 , 3 , 25 , 22 , 17 , 12 , 118 , 119 , 144 , 151 , 69 , 71 , 98 , 80 , 562 , 529 , 461 , 441 , 180 , 178 , 140 , 141 
110年7月," 1,743 "," 1,700 ", 931 , 885 , 812 , 815 , 16 , 18 , 11 , 13 , 27 , 30 , 19 , 23 , 107 , 111 , 171 , 171 , 93 , 94 , 89 , 84 , 704 , 650 , 533 , 537 , 230 , 212 , 144 , 141 
110年8月," 1,835 "," 1,949 "," 1,024 "," 1,068 ", 811 , 881 , 12 , 10 , 7 , 12 , 24 , 26 , 13 , 15 , 125 , 142 , 165 , 194 , 86 , 95 , 102 , 108 , 789 , 805 , 531 , 564 , 270 , 261 , 129 , 128 
110年9月," 2,072 "," 1,991 "," 1,078 "," 1,043 ", 994 , 948 , 15 , 15 , 19 , 21 , 32 , 33 , 34 , 40 , 151 , 158 , 204 , 212 , 112 , 109 , 130 , 117 , 783 , 743 , 626 , 579 , 261 , 224 , 168 , 153 
110年10月," 1,976 "," 2,008 "," 1,047 "," 1,056 ", 929 , 952 , - , - , 16 , 14 , 29 , 24 , 27 , 24 , 177 , 173 , 247 , 237 , 82 , 91 , 96 , 110 , 759 , 768 , 559 , 581 , 227 , 219 , 187 , 185 
110年11月," 1,926 "," 1,904 "," 1,067 "," 1,047 ", 859 , 857 , 13 , 8 , 12 , 9 , 29 , 24 , 21 , 18 , 173 , 177 , 186 , 191 , 97 , 91 , 89 , 87 , 768 , 755 , 563 , 561 , 218 , 217 , 165 , 168 
110年12月," 1,937 "," 1,909 "," 1,060 "," 1,013 ", 877 , 896 , 17 , 20 , 11 , 8 , 36 , 39 , 26 , 23 , 161 , 146 , 230 , 234 , 104 , 93 , 100 , 101 , 759 , 735 , 521 , 538 , 242 , 240 , 154 , 164 
111年," 24,574"," 25,385"," 13,389"," 13,830"," 11,185"," 11,555", 138, 142, 133, 148, 382, 394, 293, 302," 1,945"," 1,956"," 2,623"," 2,606"," 1,357"," 1,386"," 1,321"," 1,331"," 9,705"," 10,094"," 6,948"," 7,316"," 2,921"," 3,057"," 2,110"," 2,132"
 新北市," 4,519"," 4,538"," 2,428"," 2,403"," 2,091"," 2,135", 25, 28, 18, 27, 75, 79, 50, 55, 394, 402, 542, 538, 221, 211, 248, 246," 1,738"," 1,711"," 1,251"," 1,296", 582, 530, 446, 421
 臺北市," 1,961"," 2,197"," 1,090"," 1,261", 871, 936, 14, 12, 8, 11, 30, 29, 28, 33, 148, 147, 127, 128, 84, 94, 76, 82, 828, 991, 640, 693, 311, 411, 260, 288
 桃園市," 3,061"," 3,187"," 1,664"," 1,713"," 1,397"," 1,474", 19, 18, 19, 20, 53, 55, 40, 39, 389, 398, 394, 392, 195, 201, 182, 194," 1,027"," 1,059", 781, 849, 252, 265, 203, 211
 臺中市," 2,891"," 2,924"," 1,528"," 1,556"," 1,363"," 1,368", 16, 13, 14, 20, 49, 47, 38, 43, 253, 248, 329, 325, 158, 161, 173, 163," 1,068"," 1,100", 823, 837, 301, 326, 250, 251
 臺南市," 1,810"," 1,994"," 1,005"," 1,123", 805, 871, 13, 13, 9, 10, 32, 33, 22, 22, 113, 121, 162, 156, 84, 91, 84, 89, 776, 878, 537, 604, 253, 296, 180, 184
 高雄市," 2,554"," 2,690"," 1,381"," 1,455"," 1,173"," 1,235", 7, 10, 13, 11, 33, 36, 25, 23, 129, 130, 236, 241, 151, 163, 145, 156," 1,068"," 1,126", 767, 815, 336, 344, 250, 252
 臺灣省," 7,686"," 7,756"," 4,242"," 4,264"," 3,444"," 3,492", 44, 48, 52, 49, 110, 115, 90, 87, 513, 504, 823, 816, 462, 463, 408, 397," 3,157"," 3,182"," 2,123"," 2,192", 874, 873, 515, 519
 宜蘭縣, 551, 578, 286, 296, 265, 282, 8, 11, 3, 4, 9, 12, 3, 4, 36, 36, 68, 69, 30, 26, 29, 26, 211, 222, 165, 183, 58, 58, 33, 33
 新竹縣, 646, 634, 371, 358, 275, 276, 3, 3, 6, 4, 12, 12, 8, 6, 49, 47, 94, 92, 44, 50, 41, 43, 266, 249, 132, 135, 59, 57, 32, 31
 苗栗縣, 646, 640, 343, 350, 303, 290, 4, 4, 3, 3, 16, 15, 6, 5, 39, 38, 88, 81, 39, 36, 48, 43, 249, 261, 161, 161, 68, 67, 33, 32
 彰化縣," 1,223"," 1,181", 684, 660, 539, 521, 10, 9, 9, 7, 16, 15, 18, 16, 64, 60, 85, 88, 67, 64, 68, 65, 537, 521, 368, 352, 158, 156, 86, 83
 南投縣, 529, 526, 278, 273, 251, 253, 2, 2, 4, 4, 4, 4, 8, 8, 36, 38, 45, 44, 30, 29, 32, 30, 208, 202, 166, 171, 51, 51, 46, 49
 雲林縣, 520, 515, 287, 281, 233, 234, 1, 2, 4, 5, 4, 5, 5, 6, 17, 16, 25, 24, 30, 31, 22, 22, 236, 229, 181, 182, 60, 59, 48, 46
 嘉義縣, 537, 553, 324, 324, 213, 229, 1, 2, 7, 7, 2, 3, 7, 7, 18, 17, 34, 37, 30, 32, 27, 28, 274, 272, 145, 157, 78, 83, 34, 35
 屏東縣, 898, 969, 520, 566, 378, 403, 6, 6, 2, 3, 12, 13, 7, 9, 55, 58, 90, 89, 65, 64, 39, 38, 388, 431, 242, 267, 104, 119, 62, 62
 臺東縣, 365, 345, 217, 198, 148, 147, -, -, 1, -, 2, 3, 2, -, 40, 38, 48, 46, 15, 16, 19, 16, 160, 141, 79, 85, 54, 31, 22, 24
 花蓮縣, 566, 567, 299, 298, 267, 269, 2, 2, 3, 2, 16, 16, 7, 6, 56, 57, 87, 85, 31, 32, 33, 36, 196, 193, 140, 142, 55, 55, 34, 35
 澎湖縣, 67, 77, 45, 53, 22, 24, -, -, 1, 2, -, -, 1, 2, 8, 8, 3, 3, 2, 1, 2, 2, 35, 44, 16, 17, 12, 13, 4, 5
 基隆市, 469, 478, 242, 248, 227, 230, 2, 1, 4, 4, 7, 6, 10, 11, 40, 40, 70, 72, 34, 33, 19, 18, 161, 169, 128, 129, 45, 49, 38, 41
 新竹市, 433, 453, 218, 230, 215, 223, 2, 3, 1, 2, 6, 7, 4, 5, 40, 38, 65, 65, 37, 40, 18, 17, 135, 145, 128, 136, 39, 40, 29, 29
 嘉義市, 236, 240, 128, 129, 108, 111, 3, 3, 4, 2, 4, 4, 4, 2, 15, 13, 21, 21, 8, 9, 11, 13, 101, 103, 72, 75, 33, 35, 14, 14
 福建省, 92, 99, 51, 55, 41, 44, -, -, -, -, -, -, -, -, 6, 6, 10, 10, 2, 2, 5, 4, 43, 47, 26, 30, 12, 12, 6, 6
 金門縣, 85, 88, 45, 46, 40, 42, -, -, -, -, -, -, -, -, 4, 4, 9, 9, 2, 2, 5, 4, 39, 40, 26, 29, 12, 12, 6, 6
 連江縣, 7, 11, 6, 9, 1, 2, -, -, -, -, -, -, -, -, 2, 2, 1, 1, -, -, -, -, 4, 7, -, 1, -, -, -, -
111年1月," 1,875 "," 2,243 "," 1,015 "," 1,241 ", 860 ," 1,002 ", 13 , 17 , 13 , 13 , 32 , 39 , 25 , 28 , 142 , 165 , 188 , 210 , 81 , 119 , 107 , 130 , 760 , 918 , 540 , 634 , 251 , 312 , 173 , 186 
111年2月," 1,806 "," 1,706 ", 960 , 924 , 846 , 782 , 5 , 4 , 9 , 11 , 20 , 21 , 12 , 14 , 135 , 132 , 222 , 208 , 89 , 85 , 100 , 99 , 716 , 686 , 512 , 461 , 210 , 211 , 159 , 143 
111年3月," 1,978 "," 2,039 "," 1,055 "," 1,067 ", 923 , 972 , 13 , 17 , 8 , 20 , 29 , 35 , 20 , 33 , 159 , 160 , 215 , 214 , 114 , 109 , 119 , 109 , 753 , 763 , 569 , 616 , 234 , 231 , 175 , 179 
111年4月," 1,865 "," 1,865 ", 998 , 999 , 867 , 866 , 12 , 10 , 11 , 5 , 28 , 25 , 22 , 15 , 169 , 160 , 208 , 195 , 98 , 98 , 104 , 107 , 703 , 716 , 533 , 549 , 234 , 217 , 156 , 149 
111年5月," 1,789 "," 1,817 ", 977 ," 1,005 ", 812 , 812 , 10 , 9 , 13 , 17 , 26 , 24 , 30 , 31 , 153 , 154 , 191 , 195 , 105 , 93 , 90 , 68 , 693 , 734 , 501 , 518 , 235 , 260 , 170 , 176 
111年6月," 1,996 "," 1,939 "," 1,099 "," 1,050 ", 897 , 889 , 4 , 5 , 14 , 13 , 17 , 16 , 23 , 21 , 164 , 153 , 218 , 222 , 117 , 105 , 103 , 110 , 801 , 776 , 553 , 536 , 249 , 263 , 184 , 186 
111年7月," 2,289 "," 2,147 "," 1,218 "," 1,118 "," 1,071 "," 1,029 ", 9 , 4 , 8 , 7 , 28 , 22 , 25 , 21 , 174 , 178 , 255 , 249 , 130 , 113 , 128 , 115 , 886 , 805 , 663 , 644 , 305 , 266 , 216 , 202 
111年8月," 2,501 "," 2,526 "," 1,441 "," 1,434 "," 1,060 "," 1,092 ", 9 , 8 , 12 , 14 , 39 , 41 , 28 , 29 , 171 , 189 , 224 , 234 , 185 , 155 , 138 , 122 ," 1,046 "," 1,049 ", 670 , 707 , 219 , 272 , 173 , 177 
111年9月," 2,099 "," 2,214 "," 1,107 "," 1,184 ", 992 ," 1,030 ", 13 , 19 , 9 , 8 , 42 , 48 , 27 , 27 , 152 , 133 , 235 , 236 , 115 , 129 , 111 , 113 , 798 , 874 , 619 , 654 , 225 , 242 , 163 , 176 
111年10月," 2,177 "," 2,085 "," 1,185 "," 1,125 ", 992 , 960 , 16 , 10 , 14 , 12 , 48 , 38 , 35 , 29 , 179 , 163 , 232 , 193 , 124 , 123 , 109 , 107 , 834 , 801 , 616 , 631 , 247 , 257 , 179 , 178 
111年11月," 2,154 "," 2,737 "," 1,184 "," 1,533 ", 970 ," 1,204 ", 18 , 20 , 12 , 15 , 41 , 49 , 28 , 33 , 165 , 200 , 209 , 234 , 106 , 159 , 114 , 149 , 872 ," 1,125 ", 619 , 788 , 253 , 281 , 187 , 211 
111年12月," 2,045 "," 2,067 "," 1,150 "," 1,150 ", 895 , 917 , 16 , 19 , 10 , 13 , 32 , 36 , 18 , 21 , 182 , 169 , 226 , 216 , 93 , 98 , 98 , 102 , 843 , 847 , 553 , 578 , 259 , 245 , 175 , 169 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
說　　明：1.91年4月17日依據戶籍法修正「查尋人口查尋注意事項」，刪除「未按址遷出或未按址遷入」部分，本表各年度均未將該項目列入統計；94年11月30日「查尋人口查尋,,,,,,,,,,,,,,,,,,,6.兒童係指未滿12歲之人（含幼童）。,,,,,,,,,,,
　                 注意事項」修正為「失蹤人口查尋作業要點」。96年起將「空難、海難」改列為「天然災害」，並刪除「被拐（抱）走」項目。,,,,,,,,,,,,,,,,,,,7.少年係指12歲以上18歲未滿之人。,,,,,,,,,,,
                  2.本表年齡計算係以失蹤當時年齡計算；含臨時檔。,,,,,,,,,,,,,,,,,,,8.青年係指18歲以上24歲未滿之人。,,,,,,,,,,,
　　　　　3.發生係指當年(月)發生數。,,,,,,,,,,,,,,,,,,,9.成年係指24歲以上之人（含老人）。,,,,,,,,,,,
　　　　　4.查獲數=查獲當(年)月數+查獲以前年(月)數。,,,,,,,,,,,,,,,,,,,10.老人係指65歲以上之人。,,,,,,,,,,,
　　　　　5.幼童係指未滿7歲之人。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
," 25,077"," 26,229"," 13,079"," 13,669"," 11,998"," 12,560", 170, 197, 157, 172, 372, 406, 287, 317," 2,281"," 2,335"," 3,391"," 3,531"," 1,355"," 1,365"," 1,500"," 1,580"," 9,071"," 9,563"," 6,820"," 7,132"," 2,805"," 3,014"," 1,786"," 1,806"
, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
